Date,State,County,Latitude,Longitude,StateAbbr,county_fips,population,median_income,poverty_rate,file
2020-01-01,California,Lassen County,40.67363,-120.5944,CA,35.0,30600.0,56971.0,0.1328,2020 ACS 5yr
2020-01-01,California,Mariposa County,37.58147,-119.9054,CA,43.0,17319.0,50960.0,0.1559,2020 ACS 5yr
2020-01-01,California,Marin County,38.06495,-122.6934,CA,41.0,259441.0,121671.0,0.069,2020 ACS 5yr
2020-01-01,California,Nevada County,39.30138,-120.7687,CA,57.0,99417.0,68333.0,0.0951,2020 ACS 5yr
2020-01-01,California,Plumas County,40.00467,-120.8385,CA,63.0,18844.0,57233.0,0.1249,2020 ACS 5yr
2020-01-01,California,,37.2551,-119.6175,CA,,,,,2020 ACS 5yr
2020-01-01,California,San Mateo County,37.45545,-122.3178,CA,81.0,765623.0,128091.0,0.0618,2020 ACS 5yr
2020-01-01,California,Kern County,35.34282,-118.7299,CA,29.0,892458.0,54851.0,0.2043,2020 ACS 5yr
2020-01-01,California,Merced County,37.19188,-120.7177,CA,47.0,273661.0,56330.0,0.1875,2020 ACS 5yr
2020-01-01,California,Santa Cruz County,37.05623,-122.0016,CA,87.0,273170.0,89986.0,0.1191,2020 ACS 5yr
2020-01-01,California,Inyo County,36.51106,-117.4106,,,,,,2020 ACS 5yr
2020-01-01,California,Sacramento County,38.44986,-121.3439,CA,67.0,1537948.0,70684.0,0.1385,2020 ACS 5yr
